AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRYGY25G090A516,m29_1,MRYGY24G080D080,male,2025,unknown,MRYGY25G0900291
MRYGY25G090A517,m6_2,MRYGY24G080D895,male,2025,unknown,MRYGY25G0900063
MRYGY25G090A518,m52_1,MRYGY24G080C456,male,2025,unknown,MRYGY25G0900522
MRYGY25G090A519,m18_2,MRYGY24G080D863,male,2025,unknown,MRYGY25G0900181
MRYGY25G090A520,m29_1,MRYGY24G080D080,male,2025,unknown,MRYGY25G0900291
MRYGY25G090A521,m89_1,MRYGY24G080F456,male,2025,unknown,MRYGY25G0900893
MRYGY25G090A522,m46_1,MRYGY24G080F449,male,2025,unknown,MRYGY25G0900461
MRYGY25G090A523,m49_1,MRYGY24G080C327,male,2025,unknown,MRYGY25G0900491
MRYGY25G090A524,m41_1,MRYGY24G080C737,male,2025,unknown,MRYGY25G0900412
MRYGY25G090A525,m78_2,MRYGY24G080C637,male,2025,unknown,MRYGY25G0900781
MRYGY25G090A526,m7_1,MRYGY24G080E645,male,2025,unknown,MRYGY25G0900071
MRYGY25G090A527,m14_1,MRYGY24G080E679,male,2025,unknown,MRYGY25G0900141
MRYGY25G090A528,m3_2,MRYGY24G080E067,male,2025,unknown,MRYGY25G0900032
MRYGY25G090A529,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090A530,m44_2,MRYGY24G080D631,male,2025,unknown,MRYGY25G0900441
MRYGY25G090A531,m46_1,MRYGY24G080F449,male,2025,unknown,MRYGY25G0900461
MRYGY25G090A532,m10_1,MRYGY24G080E677,male,2025,unknown,MRYGY25G0900101
MRYGY25G090A533,m40_2,MRYGY24G080C408,male,2025,unknown,MRYGY25G0900401
MRYGY25G090A534,m76_2,MRYGY24G080F571,male,2025,unknown,MRYGY25G0900762
MRYGY25G090A535,m48_2,MRYGY24G080E498,male,2025,unknown,MRYGY25G0900483
MRYGY25G090A536,m94_1,MRYGY24G080F481,male,2025,unknown,MRYGY25G0900941
MRYGY25G090A537,m49_1,MRYGY24G080C327,male,2025,unknown,MRYGY25G0900491
MRYGY25G090A538,m50_2,MRYGY24G080F753,male,2025,unknown,MRYGY25G0900501
